time (UTC),latitude (degrees_north),longitude (degrees_east),date_utc,primary_sample_unit,station_nr,sample_depth (m),habitat_cd,habitat_type,depth_strat,depth_strat_description,sub_region,sub_region_name_description,admin,administration_description,scientific_name,common_name,len (cm),num,time_seen,strat,strat_description
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Balistes vetula,queen triggerfish,29.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Cantherhines macrocerus,whitespotted filefish,0.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Cantherhines pullus,orangespotted filefish,0.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Canthidermis sufflamen,ocean triggerfish,0.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Melichthys niger,black durgon,0.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Monacanthus tuckeri,slender filefish,0.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Tylosurus crocodilus,houndfish,0.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Apogon maculatus,flamefish,0.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Ophioblennius macclurei,redlip blenny,0.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Scartella cristata,molly miller,0.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Bothus lunatus,peacock flounder,0.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Caranx bartholomaei,yellow jack,0.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
